Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
Pry Yourself Loose And Listen,1964,,A11,"Tangier, Morocco: Ira Cohen, 1964. First in wrappers. Offprint of Maynard & Miles C68, C69, C70 and C71. Not in Maynard & Miles, Shoaf or Schottlaender.",Pry%20Yourself%20Loose%20And%20Listen.resources/pry-yourself-loose-and-listen_16651284520_o.jpg
Roosevelt After Inauguration,1964,A9a,A12,"New York: Fuck You Press, 1964. First, Maynard and Miles A9a. Signed by Burroughs and Allen Ginsberg, dated ""1978"" by Ginsberg.",Roosevelt%20After%20Inauguration_2.resources/roosevelt-after-inauguration_522296883_o.jpg
Junkie,1964,A1c,A1c,"New York, NY: Ace Books, 1964. First state, Maynard and Miles A1c.",Junkie.resources/junkie_12650178874_o.jpg
Arcade 1,1964,"C84, C85, C86",C64,"Maynard and Miles C84, C85, and C86.",Arcade%201.resources/arcade-1_522298861_o.jpg
My Own Mag 9,1964,C101,C89,"Schottlaender C89. Includes Schottlaender C83, containing Maynard and Miles C101 and C102.",My%20Own%20Mag%209.resources/my-own-mag-9_522291404_o.jpg
"Health Bulletin: APO-33, A Metabolic Regulator",1965,A12a,A13a,"New York: Fuck You Press, 1965. First, Maynard and Miles A12a. From James Musser's description: ""Mimeographed sheets, stapled at the edge. The correct first edition. The legendarily rare Fuck You Press edition of this title published by Ed Sanders who abandoned the project before completion. According to Sanders ""maybe as many as ten or twenty"" copies were distributed before he halted publication due to Burroughs' dissatisfaction with the copy he'd received. Maynard and Miles state that ""a good early copy was secured by Bill Beckman,"" and that is the copy offered here. Bill Beckman was an artist from Texas who designed album covers for The Fugs, and a good friend of Sanders who regularly gave him copies of current Fuck You Press publications. This copy bears Beckman's ownership signature on the title page. If only 10 or 20 copies did exist originally, far fewer have been accounted for. We know of only 3 copies in private hands, NUC and WORLDCAT turn up no copies in institutions (though there is a copy at Northwestern), and we've never seen a copy offered for sale. The cover sheet has pulled loose from two staples, else fine with all of the illustrations pasted in. Housed in a handsome clamshell box.""","Health%20Bulletin%3A%20APO-33,%20A%20Metabolic%20Regulator.resources/health-bulletin-apo-33-a-metabolic-regulator_522300089_o.jpg"
Time,1965,A11a,A15a,"New York: ""C"" Press, 1965. Signed limited first, Maynard and Miles A11a. Number 91 of 100, signed by Burroughs and Gysin. Some wear on spine. ",Time_1.resources/time_522292354_o.jpg
Valentine's Day Reading,1965,F12,A16,"New York: The American Theatre for Poets, 1965. Maynard and Miles F12. Per James Musser: ""Program distributed on the occasion of Burroughs' appearance at the East End Theatre in New York, 1965, for a Valentine's Day reading sponsored by The American Theatre for Poets.  Prints ""Transcript of Dutch Schultz's Last Words"" and ""The Coldspring News.""  This is Lawrence Ferlinghetti's copy with the notation ""Save for CLJ #3"" in Ferlinghetti's hand.  Ferlinghetti was apparently going to include this piece in City Lights Journal #3, but decided against it.  Signed by William Burroughs."" These are pages 1 through 6, lacking the cover sheet and page 7 (""The Coldspring News"").",Valentine's%20Day%20Reading.resources/valentines-day-reading_522299687_o.jpg
Time,1965,A11a,A15a,"New York: ""C"" Press, 1965. Signed limited first, Maynard and Miles A11a. Signed by Burroughs and Brion Gysin, who contributed four drawings. Number 22 of 100, some yellowing and wear on spine.",Time_3.resources/time_528568466_o.jpg
Nova Express,1965,A10b,A10b,"New York: Grove Press, Inc., 1965. Maynard and Miles A10b. Sixth printing. Wrappers partially separated from spine.",Nova%20Express_2.resources/nova-express_522302165_o.jpg
The Marijuana Newsletter 2,1965,C110,C108,Maynard and Miles C110.,The%20Marijuana%20Newsletter%202.resources/the-marijuana-newsletter-2_522299831_o.jpg
My Own Mag 13,1965,C122,C115,Schottlaender C115. Numbered 398 of 500. Contains Maynard & Miles C122.,My%20Own%20Mag%2013.resources/my-own-mag-13_522291516_o.jpg
My Own Mag 12,1965,"C112, C113","C114, C96","Schottlaender C114. Includes Schottlaender C96 (containing Maynard & Miles C113,) and additionally contains Maynard & Miles C112.",My%20Own%20Mag%2012.resources/my-own-mag-14_522291582_o.jpg
The Marijuana Newsletter 1,1965,C103,C107,Maynard and Miles C103.,The%20Marijuana%20Newsletter%201.resources/the-marijuana-newsletter-1_522292180_o.jpg
Paris Review 35,1965,"C127, E3",C119,Maynard and Miles C127. Signed by Burroughs at entry.,Paris%20Review%2035.resources/paris-review-35_522288748_o.jpg
My Own Mag 11,1965,"C105, C106, C107, C108","C113, C110","Schottlaender C113. Includes Schottlaender C110 (containing Maynard & Miles C105 and C107,) and additionally contains Maynard & Miles C106 and C108.",My%20Own%20Mag%2011.resources/Evernote%20Snapshot%2020171104%20144557.jpg
My Own Mag 14,1965,C131,"C116, C112","Schottlaender C116. Includes Schottlaender C112, containing Maynard & Miles C131.",My%20Own%20Mag%2014.resources/my-own-mag-12_522291434_o.jpg
Naked Lunch,1966,A2d,A2e,"New York: Grove Press, Inc., 1966. Maynard and Miles A2d, second printing.",Naked%20Lunch.resources/Evernote%20Snapshot%2020171107%20212339.jpg
Nova Express,1966,A10c,A10c,"London: Jonathan Cape, 1966. First English, Maynard and Miles A10c. With wording on page 4 blacked out with black magic marker.",Nova%20Express.resources/nova-express_522293982_o.jpg
APO-33 Bulletin,1966,A12b,A13b,"San Francisco: Beach Books, Texts and Documents, 1966. Second, Maynard and Miles A12b. Some yellowing and chipping of pages.",APO-33%20Bulletin.resources/apo-33-bulletin_522299879_o.jpg
The Soft Machine,1966,A5b,A5b,"New York: Grove Press, Inc., 1966. First American, Maynard and Miles A5b.",The%20Soft%20Machine_3.resources/the-soft-machine_522301711_o.jpg
East Side Review 1(1),1966,C132,C126,Maynard and Miles C132.,East%20Side%20Review%201(1).resources/east-side-review-11_522298157_o.jpg
