Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
The Book of Breething,1973,,A31a,"Ingatestone, Essex, UK: OU Henri Chopin, 1973. First, Schottlaender A31a. The publisher's archive for The Book of Breething. Set in a four-ring binder, it contains: 1) the typescript of the book, with corrections in Burroughs' hand; 2) the contract between Burroughs, Verbrugghen and the publisher, Henri Chopin (in French), signed by Burroughs; 3) signed correspondence from Burroughs to Verbrugghen about the contract and completion of the book; 4) typescripts of French and Dutch translations of the text, by Jean Chopin and Verbrugghen, respectively; 5) a manuscript of the French translation by Jean Chopin; and 6) some of the original drawings by the artist, Bob Gale, being that on the cover and on pages 20, 22 and 28 of the first edition.",The%20Book%20of%20Breething_1.resources/the-book-of-breething_522298489_o.jpg
White Subway,1973,A24a,A30,"London: Aloes Press, 1973. First, Maynard and Miles A24a. In wrappers with several small scrapes and spots.",White%20Subway_1.resources/white-subway_522301087_o.jpg
William Burroughs Archive - Flyer,1973,,,"n.p., 1973. The typescript of the introductory section of ""A Descriptive Catalogue of the William S . Burroughs Archive,"" together with notes on the catalog by Brion Gysin on lined notebook paper. Notes slightly yellowed at top, else fine. Per James Musser: ""GYSIN, Brion.  Gysin's handwritten notes listing corrections for The Descriptive Catalog of the William S. Burroughs Archive published by Covent Garden in 1973.  3 pages.  4to.  Gysin carefully lists, page-by-page, suggested corrections to the text of the catalog of the Burroughs archive that also included much of his own material.  TOGETHER WITH two pages of original typescript by Gysin titled ""Flyer.""  Gysin's text, never published, was intended to be a promotional flyer describing the catalog of the Burroughs archive.  Fine.""",William%20Burroughs%20Archive%20-%20Flyer.resources/william-burroughs-archive---flyer_522298767_o.jpg
Exterminator!,1973,A23a,A27,"New York: The Viking Press, Inc., 1973. First, Maynard and Miles A23a. Dust jacket slightly soiled.",Exterminator!.resources/exterminator_522301065_o.jpg
Ali's Smile,1973,,A22b,"Bonn, Germany: Expanded Media Editions, 1973. Signed limited first German edition, Schottlaender A22b. Bilingual English/German text. Number 24 of 100, signed by Burroughs. Slight bend in bottom edge.",Ali's%20Smile_2.resources/alis-smile_522298835_o.jpg
Mayfair Acadamy Series (More or Less),1973,A25a,A28,"Brighton: Urgency Press Rip-Off, 1973. First, Maynard and Miles A25a.",Acadamy%20Series%20(More%20or%20Less).resources/acadamy-series-more-or-less_522293462_o.jpg
Jean Genet in Tangier,1974,,,"New York: The Ecco Press, 1974. First. Signed by Burroughs.  Contains forward by Burroughs.",Jean%20Genet%20in%20Tangier.resources/jean-genet-in-tangier_522302845_o.jpg
The Book of Breething,1974,,A31a,"Ingatestone, Essex, UK: OU Henri Chopin, 1974. First, Schottlaender A31a. Signed by Burroughs. One of 350, unnumbered, in wrappers. Some fading of print on front cover.",The%20Book%20of%20Breething_5.resources/the-book-of-breething_522297759_o.jpg
Exterminator! A Novel,1974,,A27b,"London: Calder and Boyars, 1974. Schottlaender A27b. Hardbound.",Exterminator!%20A%20Novel.resources/exterminator-a-novel_11389859556_o.jpg
The Book of Breething,1975,,A31b,"Berkeley: Blue Wind Press, 1975. First American edition, Schottlaender A31b. Signed by Burroughs.",The%20Book%20of%20Breething_3.resources/the-book-of-breething_528564498_o.jpg
Verdelgen,1975,,A33,"Bussum, Netherlands: Uitgeverij Agathon, 1975. First, Schottlaender A33.",Verdelgen.resources/verdelgen_10499268055_o.jpg
Snack...,1975,,A32,"London: Aloes Books, 1975. First, Schottlaender A31.",Snack....resources/snack_522290800_o.jpg
Port of Saints,1975,,A29a,"London: Covent Garden Press, Ltd., 1975. Signed limited first, Schottlaender A29a. Signed and numbered by Burroughs, number 32 of 100. Some rubbing to slipcase.",Port%20of%20Saints.resources/port-of-saints_522297575_o.jpg
The Last Words of Dutch Schultz,1975,,A22b,"New York: Viking Press, Inc., 1975. First American edition, Schottlaender A22b.",The%20Last%20Words%20of%20Dutch%20Schultz_2.resources/the-last-words-of-dutch-schultz_522293692_o.jpg
William S. Burroughs: An Annotated Bibliography of his Works and Criticism,1975,,I3,"New York, NY: Garland Reference Library of the Humanities, 1975. First, Schottlaender I3. A bibliography compiled by Michael B. Goodman of SUNY, Stony Brook, predating the publication of Maynard and Miles. Without dust jacket as issued. ",William%20S.%20Burroughs%3A%20An%20Annotated%20Bibliography%20of%20his%20Works%20and%20Criticism.resources/william-s-burroughs-an-annotated-bibliography-of-his-works-and-criticism_1681872212_o.jpg
Electric Banana,1975,,,"Cherry Valley, NY: Cherry Valley Editions, 1975. First. Signed by Mary Beach, one of 500 issued in wraps. Contains introduction by Burroughs. Price on back of cover wraps inked out.",Electric%20Banana.resources/electric-banana_522298983_o.jpg
The Book of Breething,1975,,A31b,"Berkeley: Blue Wind Press, 1975. Simultaneous wraps issue of first American edition, Schottlaender A31b.",The%20Book%20of%20Breething_4.resources/the-book-of-breething_528564480_o.jpg
Ruby Editions Portfolio 1,1975,,B2,"London and Toronto: Wallrich Books, 1975. Signed limited first, Schottlaender B2. Signed by Burroughs on his contribution ""Une Poeme Moderne"", number 18 of 100. Also contains broadsides by Cozette de Charmoy and Henri Chopin. Tape has lost adhesive on portfolio folder.",Ruby%20Editions%20Portfolio%201.resources/ruby-editions-portfolio-1_522299055_o.jpg
The Book of Breething,1975,,A31b,"Berkeley: Blue Wind Press, 1975. First American edition, Schottlaender A31b.",The%20Book%20of%20Breething.resources/the-book-of-breething_528564488_o.jpg
Sidetripping,1975,,G26a,"New York: Derbibooks, Inc., 1975. First, Schottlaender G26a.",Sidetripping.resources/sidetripping_522298071_o.jpg
The Retreat Diaries,1976,,A35,"New York: The City Moon, 1976. Signed limited first, Schottlaender A35. Signed and lettered by Burroughs, I (or possibly L?) of 26. As issued in brown paper envelope with cutaway section exposing red-on-white image of Burroughs, on front wrapper, with Burroughs' lettering for title on front wrapper.",The%20Retreat%20Diaries.resources/the-retreat-diaries_522298635_o.jpg
Cobble Stone Gardens,1976,,A34,"Cherry Valley, New York: Cherry Valley Editions, 1976. Signed limited first, Schottlaender A34. One of 50 hand bound copies signed by Burroughs, but mysteriously unnumbered in spite of publisher's statement to the contrary. Bound in boards with black cloth and front wrapper pasted on front, with binding somewhat loose.",Cobble%20Stone%20Gardens.resources/cobble-stone-gardens_522300067_o.jpg
Oeuvre Croisee,1976,,A36a,"Paris: Flammarion, 1976. First French edition, Schottlaender A36a. The true first edition of ""The Third Mind."" Signed by Brion Gysin, inscribed ""with best wishes Brion Gysin Paris 15 aug 81"".",Oeuvre%20Croisee.resources/oeuvre-croisee_522295470_o.jpg
The Retreat Diaries,1976,,A35,"New York: The City Moon, 1976. First, Schottlaender A35. Signed by Burroughs and Allen Ginsberg. Slightly soiled.",The%20Retreat%20Diaries_1.resources/the-retreat-diaries_522298679_o.jpg
Le Colloque de Tanger,1976,,G45a?,"Geneva: Editions Ottezec, 1976. Schottlaender G45a. Ten black and white photos of Burroughs and Brion Gysin taken during the Colloque de Tanger symposium. Signed by Burroughs, Gysin, Francois LeGarde (the photographer) and Gerard-Georges Lemaire (the symposium's organizer.) Number 19 of 75. Tear and wear to lower left corner of printed folder.",Le%20Colloque%20de%20Tanger.resources/le-colloque-de-tanger_522299071_o.jpg
Cobble Stone Gardens,1976,,A34,"Cherry Valley, New York: Cherry Valley Editions, 1976. First in wrappers, Schottlaender A34. Slightly yellowed.",Cobble%20Stone%20Gardens_1.resources/cobble-stone-gardens_522300391_o.jpg
Le Colloque de Tanger - Autograph Letters,1976,,,"Per James Musser: ""Also included [with Le Colloque de Tanger as obtained] are 6 Autograph Letters Signed from Francois Lagarde to Brion Gysin."" ",Le%20Colloque%20de%20Tanger%20-%20Autograph%20Letters.resources/le-colloque-de-tanger---autograph-letters_522291314_o.jpg
The CoEvolution Quarterly 16,1977,,C421,Schottlaender C421.,The%20CoEvolution%20Quarterly%2016.resources/the-coevolution-quarterly-16.jpg
The Third Mind,1978,,A36b,"New York: The Viking Press, Inc., 1978. First American edition, Schottlaender A36b.",The%20Third%20Mind_1.resources/the-third-mind_522293532_o.jpg
Letters to Allen Ginsberg 1953 - 1957,1978,,H12a?,"Geneva: Claude Givaudan/Am Here Books, 1978. Signed limited first, Schottlaender H12a. Signed by Burroughs and Allen Ginsberg, number 18 of 100 of a bilingual French-English version. In clear acetate dust jacket with some damage to the upper rear edge.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957_2.resources/letters-to-allen-ginsberg-1953---1957_522289252_o.jpg
The Nova Convention,1978,,G62,"New York: Entermedia, 1978. First, Schottlaender G62. Inscribed by James Grauerholz 'For Brad Morrow ""You shoulda been there!"" James Grauerholz'.",The%20Nova%20Convention.resources/the-nova-convention_522290612_o.jpg
"William S. Burroughs: A Bibliography, 1953-73",1978,,I5,"Charlottesville, VA: University Press of Virginia, 1978. First, Schottlaender I5. Without dust jacket as issued.","William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73.resources/william-s-burroughs-a-bibliography-1953-73_522288322_o.jpg"
Search & Destroy 10,1978,,C455,"San Francisco, CA: Search & Destroy, 1978. Schottlaender C455. Contains ""Some Last Words with Hombre Invisible."" Signed by Burroughs, inscribed ""William Burroughs for Burt Bretton."" Some yellowing.",Search%20&%20Destroy%2010.resources/search--destroy-10_522291186_o.jpg
Ali's Smile/Naked Scientology,1978,,A37a,"Bonn: Expanded Media Editions, 1978. First, Schottlaender A37a. Wear on corners and creases in spine.",Ali's%20Smile_Naked%20Scientology.resources/alis-smilenaked-scientology_522288460_o.jpg
"Burroughs I (Junkie, Auf der Suche nach Yage, Naked Lunch, Nova Express)",1978,,"D44, D68, D87, D145","Frankfurt: Zweitausendeins, 1978. First, Schottlaender D44, D68, D87, and D145. Contains German translations of Junky, the Yage Letters, Naked Lunch and Nova Express. Inscribed by the translator Carl Wiessner: ""Dear William &mdash; One of the first copies, fresh from the binder's, to you - Hope you like this book - As ever, Carl"". Therefore this is presumably Burroughs' own copy. In cardboard slipcase.","Burroughs%20I%20(Junkie,%20Auf%20der%20Suche%20nach%20Yage,%20Naked%20Lunch,%20Nova%20Express).resources/burroughs-i-junkie-auf-der-suche-nach-yage-naked-lunch-nova-express_522288362_o.jpg"
"William S. Burroughs: A Bibliography, 1953-73",1978,,I5,"Charlottesville, VA: University Press of Virginia, 1978. First, Schottlaender I5. Signed by Burroughs. Without dust jacket as issued.","William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73_1.resources/william-s-burroughs-a-bibliography-1953-73_522289362_o.jpg"
When Naked Troubadours Shoot Snotty Baboons,1978,,A39,"Northridge, CA: Lord John Press, 1978. Signed limited first, Schottlaender A39. Signed and numbered by Burroughs, number 99 of 100. Broadside, 14x20"", designed and illustrated by James R. Silke, also signed by him.",When%20Naked%20Troubadours%20Shoot%20Snotty%20Baboons.resources/when-naked-troubadours-shoot-snotty-baboons_522300345_o.jpg
The Third Mind,1978,,A36b,"New York: The Viking Press, Inc., 1978. First American edition, Schottlaender A36b.",The%20Third%20Mind.resources/the-third-mind_522300655_o.jpg
The Yage Letters,1978,,A8b?,"San Francisco: City Lights Books, 1978. Eighth printing, Schottlaender A8b.",The%20Yage%20Letters_1.resources/the-yage-letters_522296803_o.jpg
The Three Minds,1978,,G46,"Geneva: Images Nuit Blanche, 1978. Signed limited first, Schottlaender G46. A triptych of photographs made by Francois Legarde, with a photo of Burroughs on the right panel, Brion Gysin on the left, and a superimposed image of the two in the center. With folded insert, signed by Burroughs, Gysin and Legarde, number 17 of 35. In orange cardboard mounting.",The%20Three%20Minds.resources/the-three-minds_522299123_o.jpg
Blade Runner (a movie),1979,,A41a,"Berkeley: Blue Wind Press, 1979. First, Schottlaender A41a.",Blade%20Runner%20(a%20movie).resources/blade-runner-a-movie_522300375_o.jpg
Submission,1979,,,"New York: Scat Publications, 1979. First. Signed by Burroughs and De Sana, dated ""1985"" by De Sana . Wrappers scuffed and worn at edges.",Submission.resources/submission_522298121_o.jpg
Roosevelt After Inauguration,1979,,A43,"San Francisco: City Lights Books, 1979. First edition thus in wrappers, Schottlaender A43. Reprint in wrappers, with ""Sects and Death"", ""The Whole Tamale"", and ""When Did I Stop Wanting To Be President?""",Roosevelt%20After%20Inauguration_1.resources/roosevelt-after-inauguration_522288580_o.jpg
Blade Runner (a movie),1979,,A41a,"Berkeley: Blue Wind Press, 1979. Signed limited first, Schottlaender A41a. Signed by Burroughs, numbered 63 of 100.",Blade%20Runner%20(a%20movie)_1.resources/blade-runner-a-movie_522295604_o.jpg
Ah Pook Is Here,1979,,A40a,"London: John Calder, 1979. First, Schottlaender A40a. Sunning to spine of dust jacket.",Ah%20Pook%20Is%20Here.resources/ah-pook-is-here_522293632_o.jpg
Scrapbook 3,1979,,A44,"Geneva: Editions Claude Givaudan, 1979. Signed limited first, Schottlaender A44. Signed by Burroughs, number 27 of 30. Plate on inside back cover reads: ""This first edition, printed in Xerox copies by Claudia Katayanagi and Patrick R. Firbo, <i>Great White Way Kinetics</i>, New-York, in January 1979, has been printed at 30 numbered copies."" and ""Copyright Editions Claude Givaudan 3, Rue de Soleil Levant, Geneva"".",Scrapbook%203.resources/scrapbook-3_522298003_o.jpg
Doctor Benway,1979,,A42,"Santa Barbara, CA: Bradford Morrow, 1979. Signed limited first, Schottlaender A42. Signed by Burroughs, number 135 of 150. Slight yellowing to spine and top of dust jacket.",Doctor%20Benway.resources/doctor-benway_522300769_o.jpg
Wouldn't You Polish Pine Floors...,1979,,A45,"St Paul, MN: Bookslinger, 1979. Signed limited first, Schottlaender A45. Signed by Burroughs, lettered B of 26. Broadside, 10x13"", in ""16 Broadsides"" from Walker Art Center Reading Series 1979-1980, Minneapolis, Minnesota. All 16 in complete set. In clamshell box.",Wouldn't%20You%20Polish%20Pine%20Floors....resources/wouldnt-you-polish-pine-floors_522300305_o.jpg
The Book of Breething,1980,,A31c,"Berkeley: Blue Wind Press, 1980. Second American, trade edition, Schottlaender A31c.",The%20Book%20of%20Breething_2.resources/the-book-of-breething_528564490_o.jpg
"Burroughs II (Die wilden Boys, Port of Saints)",1980,,"D98, D137","Frankfurt: Zweitausendeins, 1980. First, Schottlaender D98 and D137. Per James Musser: ""The first German edition of The Wild Boys (and presumably first German Port of Saints).  Tipped-in frontis illustration by S. Clay Wilson whose full-page plates appear throughout the book.  BURROUGHS' PERSONAL COPY SPECIALLY BOUND for him by the publisher in DIAMONDBACK RATTLESNAKE SKIN with Burroughs' initials stamped to the spine. Signed on the title page by Burroughs and also by S. Clay Wilson who dated his signature 1996.  (Wilson's person copy was bound in Niger goat and snakeskin--so depending on how you look at it each copy is unique---or you can say there were two specially bound author copies bound by the publisher.)  Fine in slightly used slightly soiled folding chemise covered in the same silk they used for the endpapers.""","Burroughs%20II%20(Die%20wilden%20Boys,%20Port%20of%20Saints).resources/burroughs-ii-die-wilden-boys-port-of-saints_873238163_o.jpg"
Port of Saints,1980,,A29b,"Berkeley: Blue Wind Press, 1980. First American edition, Schottlaender A29b.",Port%20of%20Saints_1.resources/port-of-saints_522294822_o.jpg
The Evening Sun Turned Crimson,1980,,,"Cherry Valley, NY: Cherry Valley Editions, 1980. First trade edition. Signed by Herbert Huncke. ",The%20Evening%20Sun%20Turned%20Crimson.resources/the-evening-sun-turned-crimson_522301619_o.jpg
"Three Novels (The Soft Machine, Nova Express, The Wild Boys)",1980,,A46a,"New York, NY: Grove Press. Inc., 1980. First edition in wrappers of the Evergreen imprint version of this collection, Schottlaender A46a.","Three%20Novels%20(The%20Soft%20Machine,%20Nova%20Express,%20The%20Wild%20Boys).resources/three-novels-the-soft-machine-nova-express-the-wild-boys_1681026351_o.jpg"
Early Routines,1981,,A48a,"Santa Barbara, CA: Cadmus Editions, 1981. Signed limited first, Schottlaender A48a. Signed by Burroughs and David Hockney, who did Burroughs' portrait on front cover. Lettered Q of 26, in rice paper dust jacket.",Early%20Routines_1.resources/early-routines_522301539_o.jpg
Atticus Books Catalogue 8,1981,,I1,"San Diego, CA: Atticus Books, 1981. Signed limited edition, Schottlaender I1. Signed by Burroughs, numbered 39 of 50. Lists 360 Burroughs items.",Atticus%20Books%20Catalogue%208.resources/atticus-books-catalogue-8_522293594_o.jpg
Am Here Books Catalogue 5,1981,,E14,"Santa Barbara, CA: Am Here Books, 1981. Lists 37 Burroughs items. Contains 7"" vinyl E.P. record of Burroughs reading ""The Last Words of Hassan-I-Sabbah"", Schottlaender E13.",Am%20Here%20Books%20Catalogue%205.resources/am-here-books-catalogue-5_522290082_o.jpg
Streets of Chance,1981,,A50,"New York: The Red Ozier Press, 1981. Signed limited first, Schottlaender A50. Signed by Burroughs and illustrator Howard Buchwald, number 121 of 160. Beautifully bound, without dust jacket as issued.",Streets%20of%20Chance.resources/streets-of-chance_522294200_o.jpg
Essais - Tome I,1981,,A49,"Paris: Christian Bourgois Éditeur, 1981. First, Schottlaender A49. Volume 1 of 2. ",Essais%20-%20Tome%20I.resources/essais---tome-i_10499284054_o.jpg
Contemporary Literary Censorship: The Case History of Burroughs' Naked Lunch,1981,,I22,"Metuchen, N.J. : Scarecrow Press, 1981. First, Schottlaender I22. Critical study by Michael Barry Goodman. Signed by the author.",Contemporary%20Literary%20Censorship%3A%20The%20Case%20History%20of%20Burroughs'%20Naked%20Lunch.resources/contemporary-literary-censorship-the-case-history-of-burroughs-naked-lunch_526717905_o.jpg
Cities of the Red Night,1981,,A47a,"New York: Holt, Rinehart and Winston, 1981. First, Schottlaender A47a. Signed by Burroughs.",Cities%20of%20the%20Red%20Night.resources/cities-of-the-red-night_522301511_o.jpg
You're The Guy I Want To Share My Money With,1981,,E36a,"New York: Giorno Poetry Systems, 1981 (GPS 020-021).  First. Two 12"" vinyl records in gatefold jacket. Schottlaender E36a.",You're%20The%20Guy%20I%20Want%20To%20Share%20My%20Money%20With.resources/Evernote%20Snapshot%2020160423%20094028.jpg
With WIlliam Burroughs,1981,,H6b,"New York: Seaver Books, 1981. First edition in wrappers, Schottlaender H6b.",With%20WIlliam%20Burroughs.resources/with-william-burroughs_522297483_o.jpg
Early Routines,1981,,A48a,"Santa Barbara, CA: Cadmus Editions, 1981. Signed limited first, Schottlaender A48a. Signed by Burroughs, numbered 2 of 125, in rice paper dust jacket.",Early%20Routines.resources/early-routines_522294424_o.jpg
A William Burroughs Reader,1982,,A53,"London: Picador, 1982. First, Schottlaender A53. Rubbed on spine of wrappers.",A%20William%20Burroughs%20Reader.resources/a-william-burroughs-reader_522345971_o.jpg
Letters to Allen Ginsberg 1953 - 1957,1982,,H12c,"New York: Full Court Press, 1982. First American edition in wrappers, Schottlaender H12c. Personal copy of Peter Orlovsky, signed by Orlovsky and inscribed by Burroughs ""For Peter all the best Letters Love William S. Burroughs June 7, 1982.""  Slight pencil mark on front cover.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957_1.resources/letters-to-allen-ginsberg-1953---1957_522295314_o.jpg
Letters to Allen Ginsberg 1953 - 1957,1982,,H12c,"New York: Full Court Press, 1982. Signed limited American first, Schottlaender H12c. Signed by Burroughs and Ginsberg, number 95 of 100.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957.resources/letters-to-allen-ginsberg-1953---1957_522302339_o.jpg
Cities of the Red Night,1982,,A47c,"New York: Holt, Rinehart and Winston, 1982. First printing in pictorial wrappers, Schottlaender A47c. Wrappers faded and cracked on spine.",Cities%20of%20the%20Red%20Night_1.resources/cities-of-the-red-night_522292116_o.jpg
Electronic Revolution,1982,,A24d,"Bonn: Expanded Media Editions, 1982. Third edition, Schottlaender A24d. Reprint in wrappers, with ""Feedback from Watergate to the Garden of Eden"".",Electronic%20Revolution.resources/electronic-revolution_522294904_o.jpg
Re/Search 4/5,1982,,C523a,"San Francisco, CA: Re/Search Publications, 1982. Schottlaender C523a.",Re_Search%204_5.resources/research-45_522290144_o.jpg
Mummies,1982,,A51,"Dusseldorf & New York: Edition Kaldeway, 1982. First, Schottlaender A51. Contains 5 prints of etchings signed by the artist, Carl Apfelschnitt. Half-title reads: ""Edition: Volume 5"". Colophon reads: ""Printed in 70 copies and 5 copies on [sic] Japan. Bound by Christian Zwang, Hamburg. Typography Gunnar A. Kaldewey. First Edition. Copyright William Borroughs [sic] 1982."" Some scuffing to front cover.",Mummies.resources/mummies_522300229_o.jpg
The Final Academy: Statements of a Kind,1982,,G22,"London: The Final Academy, 1982. First, Schottlaender G22. Compiled by Roger Ely.",The%20Final%20Academy%3A%20Statements%20of%20a%20Kind.resources/the-final-academy-statements-of-a-kind_522299523_o.jpg
Letters to Allen Ginsburg 1953 - 1957,1982,,H12c,"New York: Full Court Press, 1982. First American edition, Schottlaender H12c. Slight pencil mark on lower left front of dust jacket. With xerox of publisher's press release laid in.",Letters%20to%20Allen%20Ginsburg%201953%20-%201957.resources/letters-to-allen-ginsburg-1953---1957_522302363_o.jpg
Sinki's Sauna,1982,,A52a,"New York: Pequod Press, 1982. Signed limited first, Schottlaender A52a. Signed by Burroughs, numbered 102 of 500.",Sinki's%20Sauna.resources/sinkis-sauna_522291990_o.jpg
"""to talk for Joe the Dead"" - Typescript",1983,,,"n.p.: 1983. Per Brian Cassidy: ""[1pp. Typed MSS With Holograph Corrections and Notes From His Short Story 'to talk for Joe the Dead'].  1983.  4to. Very good or better; mild toning along edges where framed mat once was, tape remnant from same to top edge.  Both unobtrusive. Single manuscript page from Burroughs' short story ""to talk for Joe the Dead"" from his collection TORNADO ALLEY (Cherry Valley, 1989 - provided).  This portion corresponds to pp. 17-18 from that edition.Typed and dated April 16, 1983, the piece likely originated from Burroughs' journal as several lines at the beginning of the page seem to record a dream featuring Allen Ginsberg not mentioned in the published version.  Several hand corrections to typescript as well as two informative notes to upper and lower margins in Burroughs' hand. The first: ""He's going to kill his doctor (me)"".  The second explains the origins of the story: ""This is an extension of Jerry Wallace story about a criminal boy 7 feet tall.  I said, ""He'd better abreviate [sic?] himself"".  An uncommon look at Burroughs' working methods, even if only in part.""",%22to%20talk%20for%20Joe%20the%20Dead%22%20-%20Typescript.resources/to-talk-for-joe-the-dead---typescript_1387291961_o.jpg
The Place of Dead Roads,1984,,A56a,"New York: Holt, Rinehart and Winston, 1984. Signed limited first, Schottlaender A56a. Signed and numbered by Burroughs, 176 of 300. In slip case without dust jacket as issued.",The%20Place%20of%20Dead%20Roads_1.resources/the-place-of-dead-roads_522288268_o.jpg
The Burroughs File,1984,,A54,"San Francisco: City Lights Books, 1984. First in wrappers, Schottlaender A54.",The%20Burroughs%20File.resources/the-burroughs-file_522301343_o.jpg
Naked Lunch,1984,,A2j,"New York: Grove Press, Inc., 1984. Signed limited 25th anniversary edition, Schottlaender A2j. Signed and numbered by Burroughs, 38 of 500. In slip case without dust jacket as issued.",Naked%20Lunch_1.resources/naked-lunch_522298365_o.jpg
The Burroughs File,1984,,A54,"San Francisco: City Lights Books, 1984. First, Schottlaender A54.",The%20Burroughs%20File_1.resources/the-burroughs-file_522302469_o.jpg
Ruski,1984,,A57a,"Brooklyn, NY: Hand-Job Press, 1984. Signed limited first, Schottlaender A57a. Signed by Burroughs, numbered 314 of 500.",Ruski.resources/ruski_522299037_o.jpg
The Place of Dead Roads,1984,,A56a,"New York: Holt, Rinehart and Winston, 1984. First, Schottlaender A56a.",The%20Place%20of%20Dead%20Roads.resources/the-place-of-dead-roads_522294584_o.jpg
Re/Search 8/9,1984,,,"San Francisco, CA: Re/Search Publications, 1984. Contains essays ""Mythmaker of the 20th Century"" and ""Preface to The Atrocity Exhibition"" by Burroughs.",Re_Search%208_9.resources/research-89_10499274784_o.jpg
The Four Horsemen of the Apocalypse,1984,,A55a,"Bonn: Expanded Media Editions, 1984. First, Schottlaender A55a.",The%20Four%20Horsemen%20of%20the%20Apocalypse.resources/the-four-horsemen-of-the-apocalypse_8502030736_o.jpg
Bastard,1984,,,"Paris: Futuropolis, 1984. First. Personal copy of Gregory Corso of cartoon collaboration by Willem and Wilson. Signed by Burroughs, Wilson and Gregory Corso (using his Italian name ""Nuncio Corso""). Contains endorsement by Burroughs.",Bastard.resources/bastard_522288384_o.jpg
New York Inside Out,1984,,G92,"oronto: Skyline Press, 1984. First, Schottlaender G92.",New%20York%20Inside%20Out.resources/new-york-inside-out_522338314_o.jpg
Essais - Tome II,1984,,A49,"Paris: Christian Bourgois Éditeur, 1984. First, Schottlaender A49. Volume 2 of 2. ",Essais%20-%20Tome%20II.resources/essais---tome-ii_10499282764_o.jpg
The Adding Machine,1985,,A58a,"London: John Calder, 1985. First, Schottlaender A58a. Per the London bookseller Any Amount of Books: ""From the working library of novelist Angela Carter (1940 - 1992) with her posthumous bookplate. This small, attractive bookplate reads 'From the Library of Angela Carter' and was designed by Sebastian Carter of the Rampant Lions Press and was authorised by the executors of her estate, from whom we bought the major part of her considerable collection. Fine in fine dust wrapper.""",The%20Adding%20Machine.resources/the-adding-machine_686752117_o.jpg
Queer,1985,,A59a,"New York: Viking Penguin, Inc., 1985. First, Schottlaender A59a.",Queer.resources/queer_522289130_o.jpg
Kerouac & Friends - A Beat Generation Album,1985,,,"New York : W. Morrow, 1985. First. Signed by the author and the following Beat Generation figures: Ted Joans, Herbert Hunke, Carl Solomon, Jack Micheline, Diane di Prima, Gregory Corso and Allen Ginsberg.",Kerouac%20&%20Friends%20-%20A%20Beat%20Generation%20Album.resources/kerouac--friends---a-beat-generation-album_526717903_o.jpg
The Adding Machine,1986,,A58b,"New York: Seaver Books, 1986. First American edition, Schottlaender A58b.  Signed by Burroughs. Dust jacket worn on edges.",The%20Adding%20Machine_1.resources/the-adding-machine_522295738_o.jpg
The Cat Inside,1986,,A60a,"New York: The Grenfell Press, 1986. Signed limited first, Schottlaender A60a. Signed by Burroughs and Brion Gysin, who illustrated the book. Number 18 of 115, hand bound and hand printed on antique paper, with in rice paper wraps. With publisher's pre-publication advertisement.",The%20Cat%20Inside_3.resources/the-cat-inside_522292676_o.jpg
The Cat Inside,1986,,A60a,"New York: The Grenfell Press, 1986. Signed limited first, Schottlaender A60a. Signed by Burroughs and Gysin, number XVI of 18 copies bound in vellum with Gysin drawing in gold on the front cover. In custom made box.",The%20Cat%20Inside_1.resources/the-cat-inside_522292780_o.jpg
Conjunctions 9,1986,,C558,"New York: David R. Godine, Publishers, Inc., 1986. Schottlaender C558. Contains ""The Cat Inside."" Hard bound. ",Conjunctions%209.resources/conjunctions-9_522289180_o.jpg
The Adding Machine,1986,,A58b,"New York: Seaver Books, 1986. First American edition, Schottlaender A58b. Dust jacket worn on edges.",The%20Adding%20Machine_2.resources/the-adding-machine_522294244_o.jpg
William Burroughs: An Essay,1986,,H2,"Sudbury, MA: Water Row Press, 1986. Signed limited first, Schottlaender H2. Signed by Ansen and Burroughs, number 9 of 50.",William%20Burroughs%3A%20An%20Essay.resources/william-burroughs-an-essay_522301795_o.jpg
The Western Lands,1987,,A62a,"New York: Viking Penguin, Inc., 1987. First, Schottlaender A62a.",The%20Western%20Lands.resources/the-western-lands_522301481_o.jpg
From the Western Lands,1987,,A61,"Santa Fe, NM: Casa Sin Nombre, 1987. Signed limited first, Schottlaender A61. Signed by Burroughs, one of 750. Broadside.",From%20the%20Western%20Lands.resources/from-the-western-lands_10499291144_o.jpg
Word Cultures: Radical Theory and Practice in William S. Burroughs’ Fiction.,1987,,I37,"Urbana, IL : University of Illinois Press, 1987. First, Schottlaender I37. Critical study by Robin Lydenberg.",Word%20Cultures.resources/word-cultures_522302261_o.jpg
The Western Lands,1987,,A62a,"New York: Viking Penguin, Inc., 1987. First, Schottlaender A62a. Signed by Burroughs.",The%20Western%20Lands_1.resources/the-western-lands_522295712_o.jpg
